cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,anweight,polintr,psppsgva,actrolga,psppipla,cptppola,polcmpl,trstprl,trstlgl,trstplt,trstprt,lrscale,stfeco,stfgov,stfdem,stfedu,gincdif,prtyban,prtvtdru,ctzcntr,atchctr,edulvla,eduyrs,mainact,emplrel,iorgact,uemp5yr,hinctnta,hincfel
RU,ESS1-9e01,1.0,10.12.2020,368344,ESS8e02_2,8,2.2,209,0.952264070510864,0.496314823627472,4.985758313,2.4745057577658,3,2,3,1,2,,1,2,1,1,4,3,5,3,4,1,,66,1,5,5,13,66,1,6,2,88,2
RU,ESS1-9e01,1.0,10.12.2020,368345,ESS8e02_2,8,2.2,210,0.476132035255432,0.248157411813736,4.985758313,1.2372528788829,2,3,3,3,3,,2,7,4,4,4,4,5,5,4,3,,66,1,8,5,14,66,1,6,6,77,2
RU,ESS1-9e01,1.0,10.12.2020,368346,ESS8e02_2,8,2.2,211,2.85679221153259,4.00041675567627,4.985758313,19.9451110950775,3,1,3,2,2,,9,10,8,8,8,5,8,8,8,3,,66,1,9,2,8,66,6,66,6,8,2
RU,ESS1-9e01,1.0,10.12.2020,368347,ESS8e02_2,8,2.2,212,0.952264070510864,0.43547248840332,4.985758313,2.17116057913965,3,1,1,1,1,,3,3,2,2,88,1,2,2,5,3,,66,1,5,5,16,66,2,10,6,10,1
RU,ESS1-9e01,1.0,10.12.2020,368348,ESS8e02_2,8,2.2,213,0.952264070510864,0.43547248840332,4.985758313,2.17116057913965,4,1,1,1,1,,10,0,5,5,88,0,0,88,5,8,,4,1,8,5,16,66,1,10,6,8,3
RU,ESS1-9e01,1.0,10.12.2020,368349,ESS8e02_2,8,2.2,222,0.476132035255432,0.191952660679817,4.985758313,0.957029573686867,2,3,2,3,3,,7,6,6,6,77,6,7,7,6,2,,66,1,5,5,13,66,1,5,2,77,1
RU,ESS1-9e01,1.0,10.12.2020,368350,ESS8e02_2,8,2.2,223,0.952264070510864,0.43547248840332,4.985758313,2.17116057913965,1,4,2,2,2,,10,10,10,10,5,5,5,5,8,1,,66,2,9,5,13,66,1,8,6,77,1
RU,ESS1-9e01,1.0,10.12.2020,368351,ESS8e02_2,8,2.2,224,1.90452814102173,3.05377531051636,4.985758313,15.2253856404411,3,3,2,3,3,,4,6,5,4,88,5,6,4,7,1,,66,1,5,1,7,66,6,66,6,1,2
RU,ESS1-9e01,1.0,10.12.2020,368352,ESS8e02_2,8,2.2,235,0.476132035255432,0.248157411813736,4.985758313,1.2372528788829,4,2,1,1,1,,3,3,0,0,8,3,5,1,2,1,,66,1,8,5,13,66,1,1,1,7,2
RU,ESS1-9e01,1.0,10.12.2020,368353,ESS8e02_2,8,2.2,236,0.476132035255432,0.248157411813736,4.985758313,1.2372528788829,1,1,3,2,3,,0,1,0,10,0,0,0,0,0,1,,2,1,10,5,14,66,1,0,2,7,3
RU,ESS1-9e01,1.0,10.12.2020,368354,ESS8e02_2,8,2.2,237,0.476132035255432,0.37337601184845,4.985758313,1.86156255494819,3,3,2,3,2,,3,7,5,3,88,3,5,4,6,2,,15,1,7,5,15,66,1,5,6,7,1
RU,ESS1-9e01,1.0,10.12.2020,368355,ESS8e02_2,8,2.2,238,0.476132035255432,0.236090049147606,4.985758313,1.17708792515425,1,2,2,2,1,,0,1,2,0,6,0,0,0,5,1,,6,1,7,5,16,66,1,5,6,77,2
RU,ESS1-9e01,1.0,10.12.2020,368356,ESS8e02_2,8,2.2,239,0.952264070510864,0.283493041992188,4.985758313,1.41342779079021,3,2,7,1,1,,1,1,1,1,77,0,2,0,5,1,,20,1,10,5,17,66,1,10,7,88,8
RU,ESS1-9e01,1.0,10.12.2020,368357,ESS8e02_2,8,2.2,248,0.952264070510864,0.43547248840332,4.985758313,2.17116057913965,1,3,2,2,2,,2,1,1,1,5,2,1,1,0,2,,2,1,8,5,16,66,1,0,6,77,3
RU,ESS1-9e01,1.0,10.12.2020,368358,ESS8e02_2,8,2.2,249,0.952264070510864,0.43547248840332,4.985758313,2.17116057913965,1,3,1,1,1,,3,2,3,4,5,1,1,1,1,2,,1,1,8,5,14,66,1,8,6,77,1
RU,ESS1-9e01,1.0,10.12.2020,368359,ESS8e02_2,8,2.2,250,1.4283961057663,0.744472086429596,4.985758313,3.71175789371281,3,2,2,2,2,,1,7,2,1,2,1,2,1,2,1,,2,1,7,5,16,66,1,10,2,9,3
RU,ESS1-9e01,1.0,10.12.2020,368360,ESS8e02_2,8,2.2,251,0.952264070510864,1.52688765525818,4.985758313,7.61269282022054,3,3,1,2,1,,3,3,3,3,5,4,4,4,4,2,,66,1,6,2,9,66,6,66,6,88,8
RU,ESS1-9e01,1.0,10.12.2020,368361,ESS8e02_2,8,2.2,252,1.90452814102173,0.767810642719269,4.985758313,3.82811829474747,1,1,1,1,4,,0,0,0,0,5,0,0,0,0,1,,6,1,6,5,15,8,1,1,1,88,8
